name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,genre,YOUTUBE,spotify
Anaviosi,Anaviosi,Alexi Musnitsky,4OWZLr2sLv7ueKPHV7JRNP,7/9/2020,38,174244,0.391,0.995,0.0121,0.946,0.0959,0.118,-24.588,0.0852,68.128,1,4,Calm,Country,https://youtu.be/6M9D-AFzj14?si=U5tVcBJhyyTxFF6i,https://open.spotify.com/album/0ZOhYf87hMoGk1jZMOLybU?si=gnPtrEb5SviuxT9adHFGaQ
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,10/23/2015,0,256282,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4,Sad,Jazz,https://youtu.be/OmKAn8rNbKg?si=JuAkpsX4eR_vtbfK,https://open.spotify.com/track/7qH9Z4dJEN0l9bidizW7fq?si=c52121db3b704c16
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,1/17/2019,36,280186,0.463,0.367,0.462,0.0012,0.356,0.189,-7.94,0.0272,131.273,1,4,Sad,Hip-Hop,https://youtu.be/Aki1Xn36eJ8?si=szt-B3EI9j92s75R,https://open.spotify.com/track/51EMSRpNm9Rg5rGViVCczv?si=10f65e03ee68486c
Angel's Song,Angel's Song,Arlo Parks,5hXTMmVXz1Ablgu34BkTz1,11/20/2019,58,197243,0.693,0.894,0.195,0.0325,0.126,0.315,-15.278,0.0446,116.725,11,4,Sad,Rock,https://youtu.be/O4UUp8C7OoM?si=LUniZmKshFwlM4GZ,https://open.spotify.com/track/5hXTMmVXz1Ablgu34BkTz1?si=f8eb1efd83d0473c
Angry Chair,The Essential Alice In Chains,Alice In Chains,6H0wgcQCOuLYqDuNhMW8KL,7/24/2006,22,288400,0.313,0.0642,0.973,1.22E-06,0.0581,0.118,-3.855,0.109,107.3,8,4,Energetic,Classical,https://youtu.be/IpEXM1Yziws?si=u5TD1CLFahvfzRva,https://open.spotify.com/track/6H0wgcQCOuLYqDuNhMW8KL?si=8095645a7f814100
Anthem,Anthem,EDX,1SSAvErVyid5OXzmtGZKkg,3/30/2018,44,158483,0.664,0.00152,0.86,0.894,0.197,0.249,-4.505,0.0345,121.991,7,4,Happy,Rock,https://youtu.be/25Y2IaVHKxs?si=PkBedmf7KI6270ux,https://open.spotify.com/track/1SSAvErVyid5OXzmtGZKkg?si=017a6dfafe014877
Anthem of Our Dying Day,Page Avenue (US Non-PA Version),Story Of The Year,4sPJgy0CksvmXp9jC0W4gv,9/16/2003,56,216026,0.388,0.0211,0.8,0,0.212,0.357,-6.33,0.0783,194.744,9,3,Energetic,Electronic,https://youtu.be/XagLbQskSuk?si=UPMCOWMV2a_ZMHO-,https://open.spotify.com/track/4sPJgy0CksvmXp9jC0W4gv?si=e1e27efacfd7416d
Are You Gonna Be My Girl,Get Born,Jet,305WCRhhS10XUcH6AEwZk6,9/15/2003,75,213800,0.613,0.00148,0.953,0.000582,0.152,0.537,-3.435,0.0855,105.046,2,4,Happy,Pop,https://youtu.be/tuK6n2Lkza0?si=X-n_aTLLp_Pz5MUH,https://open.spotify.com/track/305WCRhhS10XUcH6AEwZk6?si=931cb4ec019c41c1
As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,72qlZsoVPpyFxVjL6GUuYI,4/13/2018,55,193471,0.694,0.0195,0.824,0.0426,0.327,0.202,-6.306,0.161,123.014,8,4,Energetic,Country,https://youtu.be/YMk-TxDNPqc?si=SAdjK5mLpN6_IQu6,https://open.spotify.com/track/5cowr9qJDPhb4jOwnSpkSH?si=ad76dfcae6324c86
Ashes to Ashes,Ashes to Ashes,Warpaint,2lJa0SY7vZpvJ7QDFanOuZ,10/5/2010,51,310226,0.696,0.186,0.871,0.0282,0.173,0.8,-6.482,0.0357,118.938,1,4,Sad,Electronic,https://youtu.be/4Ou7VwS3pSw?si=wTHYrDHm1Z7Y_QMz,https://open.spotify.com/track/323zAiM19cVLQY0pFlwyb7?si=a1a9ce84a07e447f
